날짜,성경(시작),장(시작),성경(끝),장(끝),글 수
1,창세기,1,창세기,6,7936
2,창세기,7,창세기,12,7022
3,창세기,13,창세기,18,7941
4,창세기,19,창세기,23,7988
5,창세기,24,창세기,26,7696
6,창세기,27,창세기,30,8691
7,창세기,31,창세기,34,8324
8,창세기,35,창세기,38,7588
9,창세기,39,창세기,42,7960
10,창세기,43,창세기,46,7738
11,창세기,47,출애굽기,1,7974
12,출애굽기,2,출애굽기,6,8343
13,출애굽기,7,출애굽기,10,7821
14,출애굽기,11,출애굽기,14,7167
15,출애굽기,15,출애굽기,19,8292
16,출애굽기,20,출애굽기,24,7836
17,출애굽기,25,출애굽기,29,9296
18,출애굽기,30,출애굽기,34,8812
19,출애굽기,35,출애굽기,39,8652
20,출애굽기,40,레위기,5,7659
21,레위기,6,레위기,9,7103
22,레위기,10,레위기,13,7489
23,레위기,14,레위기,17,8012
24,레위기,18,레위기,22,8597
25,레위기,23,레위기,25,6993
26,레위기,26,민수기,1,7270
27,민수기,2,민수기,5,8336
28,민수기,6,민수기,8,7770
29,민수기,9,민수기,13,7909
30,민수기,14,민수기,16,7780
31,민수기,17,민수기,21,8499
32,민수기,22,민수기,26,9989
33,민수기,27,민수기,31,8540
34,민수기,32,민수기,35,7284
35,민수기,36,신명기,3,8426
36,신명기,4,신명기,7,8924
37,신명기,8,신명기,12,9046
38,신명기,13,신명기,17,7180
39,신명기,18,신명기,22,7580
40,신명기,23,신명기,27,7136
41,신명기,28,신명기,30,7691
42,신명기,31,신명기,33,7161
43,신명기,34,여호수아,5,7430
44,여호수아,6,여호수아,9,8226
45,여호수아,10,여호수아,13,7507
46,여호수아,14,여호수아,19,9102
47,여호수아,20,여호수아,23,6992
48,여호수아,24,사사기,3,8440
49,사사기,4,사사기,7,8556
50,사사기,8,사사기,10,7254
51,사사기,11,사사기,14,7245
52,사사기,15,사사기,18,7022
53,사사기,19,사사기,21,7094
54,룻기,1,사무엘상,1,7757
