날짜,성경(시작),장(시작),성경(끝),장(끝),글 수
1,창세기,1,창세기,4,5871
2,창세기,5,창세기,9,5534
3,창세기,10,창세기,14,5827
4,창세기,15,창세기,18,5667
5,창세기,19,창세기,21,5302
6,창세기,22,창세기,24,6712
7,창세기,25,창세기,27,6532
8,창세기,28,창세기,30,5829
9,창세기,31,창세기,32,5408
10,창세기,33,창세기,36,6570
11,창세기,37,창세기,39,5328
12,창세기,40,창세기,42,6566
13,창세기,43,창세기,45,6021
14,창세기,46,창세기,48,5318
15,창세기,49,출애굽기,2,5885
16,출애굽기,3,출애굽기,6,6831
17,출애굽기,7,출애굽기,9,5801
18,출애굽기,10,출애굽기,12,5656
19,출애굽기,13,출애굽기,15,5192
20,출애굽기,16,출애굽기,19,6631
21,출애굽기,20,출애굽기,23,6820
22,출애굽기,24,출애굽기,27,5488
23,출애굽기,28,출애굽기,30,6732
24,출애굽기,31,출애굽기,34,6904
25,출애굽기,35,출애굽기,38,6549
26,출애굽기,39,레위기,2,5573
27,레위기,3,레위기,6,5926
28,레위기,7,레위기,9,5366
29,레위기,10,레위기,13,7489
30,레위기,14,레위기,16,6928
31,레위기,17,레위기,20,6403
32,레위기,21,레위기,23,5852
33,레위기,24,레위기,26,7264
34,레위기,27,민수기,2,5901
35,민수기,3,민수기,5,6860
36,민수기,6,민수기,7,6218
37,민수기,8,민수기,11,7097
38,민수기,12,민수기,15,7167
39,민수기,16,민수기,18,6095
40,민수기,19,민수기,21,5381
41,민수기,22,민수기,24,5988
42,민수기,25,민수기,27,5288
43,민수기,28,민수기,31,7253
44,민수기,32,민수기,34,5400
45,민수기,35,신명기,1,5861
46,신명기,2,신명기,4,7901
47,신명기,5,신명기,7,5472
48,신명기,8,신명기,11,6817
49,신명기,12,신명기,15,6516
50,신명기,16,신명기,19,5721
51,신명기,20,신명기,23,6270
52,신명기,24,신명기,27,5618
53,신명기,28,신명기,29,6276
54,신명기,30,신명기,32,6673
55,신명기,33,여호수아,2,5593
56,여호수아,3,여호수아,6,5667
57,여호수아,7,여호수아,9,6299
58,여호수아,10,여호수아,12,5555
59,여호수아,13,여호수아,15,5273
60,여호수아,16,여호수아,19,5781
61,여호수아,20,여호수아,22,5783
62,여호수아,23,사사기,1,6056
63,사사기,2,사사기,4,5287
64,사사기,5,사사기,7,6862
65,사사기,8,사사기,9,6144
66,사사기,10,사사기,13,6795
67,사사기,14,사사기,16,5513
68,사사기,17,사사기,19,5347
69,사사기,20,룻기,1,6390
70,룻기,2,사무엘상,1,6183
71,사무엘상,2,사무엘상,4,5670
72,사무엘상,5,사무엘상,9,7083
73,사무엘상,10,사무엘상,13,6319
74,사무엘상,14,사무엘상,15,6185
75,사무엘상,16,사무엘상,17,5401
76,사무엘상,18,사무엘상,20,6481
77,사무엘상,21,사무엘상,24,6308
78,사무엘상,25,사무엘상,27,6033
79,사무엘상,28,사무엘상,31,5546
80,사무엘하,1,사무엘하,3,6626
81,사무엘하,4,사무엘하,7,6001
82,사무엘하,8,사무엘하,12,7448
83,사무엘하,13,사무엘하,15,7729
84,사무엘하,16,사무엘하,18,6414
85,사무엘하,19,사무엘하,20,5198
86,사무엘하,21,사무엘하,23,6125
87,사무엘하,24,열왕기상,1,5366
88,열왕기상,2,열왕기상,3,5183
89,열왕기상,4,열왕기상,7,8139
90,열왕기상,8,열왕기상,9,6644
91,열왕기상,10,열왕기상,12,7121
92,열왕기상,13,열왕기상,15,6680
93,열왕기상,16,열왕기상,18,6856
94,열왕기상,19,열왕기상,21,6830
95,열왕기상,22,열왕기하,2,6938
96,열왕기하,3,열왕기하,5,7033
97,열왕기하,6,열왕기하,8,6177
98,열왕기하,9,열왕기하,10,5360
99,열왕기하,11,열왕기하,14,6562
100,열왕기하,15,열왕기하,17,6513
101,열왕기하,18,열왕기하,19,5241
102,열왕기하,20,열왕기하,23,7701
103,열왕기하,24,역대상,2,7329
